id,name,type,prompt
GX222,hoverboard_power_off_01,One Shot,"Mining hoverboard powers off, lift field collapses, soft mechanical plate drop, short isolated sci-fi machine sound, no music, no instruments, no voices."
GX223,hoverboard_idle_loop,Loop,"Seamless loopable hoverboard idle, soft unstable lift field with tiny mechanical stabilizer ticks, clean low-volume vehicle layer, no music, no instruments, no voices."
GX224,hoverboard_low_hover_loop,Loop,"Seamless loopable low hover movement, small board floating just above dirt, gentle air displacement and stabilizer clicks, no music, no instruments, no voices."
GX225,hoverboard_boost_start_01,One Shot,"Hoverboard boost starts, short energy surge, air push, metal plate vibration, isolated movement sound, no music, no instruments, no voices."
GX226,hoverboard_boost_loop,Loop,"Seamless loopable hoverboard boost, fast steady air pressure and energetic lift field texture, clean vehicle loop, no music, no instruments, no voices."
GX227,hoverboard_boost_stop_01,One Shot,"Hoverboard boost stops, energy field drops, brief air pressure release and stabilizer tick, isolated sound, no music, no instruments, no voices."
GX228,hoverboard_turn_left_01,One Shot,"Hoverboard sharp left turn, quick air sweep and small stabilizer servo tilt, short isolated movement sound, no music, no instruments, no voices."
GX229,hoverboard_turn_right_01,One Shot,"Hoverboard sharp right turn, quick air sweep and small stabilizer servo tilt, short isolated movement sound, no music, no instruments, no voices."
GX230,hoverboard_brake_01,One Shot,"Hoverboard brakes suddenly, lift field strain, air drag, small dirt spray underneath, short isolated game sound, no music, no instruments, no voices."
GX231,hoverboard_land_dirt_01,One Shot,"Hoverboard touches down on dirt, soft plate thump, dust puff, stabilizers clicking off, isolated vehicle sound, no music, no instruments, no voices."
GX232,hoverboard_scrape_stone_01,One Shot,"Hoverboard underside scrapes stone floor, brief metal scrape and small sparks, isolated movement hazard sound, no music, no instruments, no voices."
GX233,hoverboard_energy_cell_pickup_01,One Shot,"Hoverboard energy cell collected, compact electrical snap and small power-cell click, short isolated reward sound, no music, no instruments, no voices."
GX234,fly_pack_start_01,One Shot,"Robot fly pack starts, small turbine spin-up, servo vents opening, short isolated machine sound, no music, no instruments, no voices."
GX235,fly_pack_loop,Loop,"Seamless loopable robot fly pack, compact turbine air pressure and tiny stabilizer corrections, clean vehicle loop, no music, no instruments, no voices."
GX236,fly_pack_stop_01,One Shot,"Robot fly pack stops, turbine spin-down, vents closing, small metal tick, short isolated machine sound, no music, no instruments, no voices."
GX237,air_dash_short_01,One Shot,"Short robot air dash, compressed air burst, quick energy push, tiny servo snap, isolated movement sound, no music, no instruments, no voices."
GX238,vertical_lift_start_01,One Shot,"Vertical lift activates, strong upward air push, hover stabilizers engage, short isolated vehicle sound, no music, no instruments, no voices."
GX239,hoverboard_low_power_01,One Shot,"Hoverboard low power warning, unstable lift field sputter, weak energy clicks, short isolated vehicle sound, no music, no instruments, no voices."
GX240,hoverboard_crash_dirt_01,One Shot,"Hoverboard crashes into dirt, metal plate slam, dust burst, loose parts rattle, high impact game sound, no music, no instruments, no voices."
GX241,tile_packed_dirt_hit_01,One Shot,"Special packed dirt tile hit, dense soil thud and tight gritty crack, short satisfying digging sound, no music, no instruments, no voices."
GX242,tile_wet_dirt_hit_01,One Shot,"Special wet dirt tile hit, sticky mud thump and soft soil split, short isolated digging sound, no music, no instruments, no voices."
GX243,tile_gravel_break_01,One Shot,"Special gravel tile breaks, loose stones tumble and gritty dirt collapses, short isolated block sound, no music, no instruments, no voices."
GX244,tile_hard_stone_hit_01,One Shot,"Special hard stone tile hit, sharp metal-on-rock strike and small chip scatter, isolated mining sound, no music, no instruments, no voices."
GX245,tile_ore_dense_hit_01,One Shot,"Dense ore tile hit, dull metallic clank buried in rock and tiny mineral crack, isolated mining sound, no music, no instruments, no voices."
GX246,tile_gold_node_break_01,One Shot,"Gold node tile breaks free, stone crumble with heavy soft metal clinks, short reward mining sound, no music, no instruments, no voices."
GX247,tile_crystal_node_hit_01,One Shot,"Crystal node tile hit, brittle glassy mineral tick and sharp fracture, isolated mining sound, no music, no instruments, no voices."
GX248,tile_magma_crust_crack_01,One Shot,"Magma crust tile cracks, dry hot stone split and brief heat hiss, isolated hazard sound, no music, no instruments, no voices."
GX249,tile_ice_crystal_break_01,One Shot,"Ice crystal tile breaks, cold brittle crack and tiny glassy fragments, isolated block sound, no music, no instruments, no voices."
GX250,tile_slime_pop_01,One Shot,"Sticky slime tile pops under pressure, wet elastic slap and tiny bubbles, short isolated special tile sound, no music, no instruments, no voices."
GX251,tile_bounce_spring_01,One Shot,"Bounce tile activates, compressed mechanical pad release and rubbery thump, short isolated game sound, no music, no instruments, no voices."
GX252,tile_conveyor_start_01,One Shot,"Conveyor tile starts, small rollers click and belt catches, short isolated mechanical tile sound, no music, no instruments, no voices."
GX253,tile_conveyor_loop,Loop,"Seamless loopable conveyor tile movement, small belt rollers and soft mechanical friction, clean low-volume tile loop, no music, no instruments, no voices."
GX254,tile_explosive_charge_arm_01,One Shot,"Explosive tile arms, tiny mechanical latch and dry fuse-like spark snap, short hazard sound, no music, no instruments, no voices."
GX255,tile_explosive_pop_small_01,One Shot,"Small explosive tile pops, compact dirt burst and pebble scatter, isolated hazard sound, no music, no instruments, no voices."
GX256,tile_magnetic_pull_01,One Shot,"Magnetic tile activates, metal dust pulls inward and a compact magnetic snap, isolated sci-fi tile sound, no music, no instruments, no voices."
GX257,tile_pressure_plate_click_01,One Shot,"Stone pressure plate tile clicks down, heavy dry stone button press and mechanism tick, isolated puzzle sound, no music, no instruments, no voices."
GX258,tile_secret_wall_reveal_01,One Shot,"Secret wall tile reveals passage, stone face slides aside with dust and grit, isolated discovery sound, no music, no instruments, no voices."
GX259,tile_void_crack_open_01,One Shot,"Void crack tile opens, rock surface splits with vacuum-like air pull and granular debris, sci-fi hazard sound, no music, no instruments, no voices."
GX260,tile_star_ore_hit_01,One Shot,"Star ore tile hit, dense mineral strike with tiny sparkling particle impacts, isolated cosmic mining sound, no music, no instruments, no voices."
GX261,dig_soft_dirt_hit_satisfying_01,One Shot,"Satisfying pickaxe hit into soft dirt, rounded thump, dry grit burst, clean responsive game impact, no music, no instruments, no voices."
GX262,dig_soft_dirt_hit_satisfying_02,One Shot,"Juicy soft dirt mining hit, compact soil crunch and small particles settling, short responsive game sound, no music, no instruments, no voices."
GX263,dig_soft_dirt_break_clean_01,One Shot,"Soft dirt block breaks cleanly, crumbly soil chunks collapse with dry granular tail, short satisfying mining sound, no music, no instruments, no voices."
GX264,dig_packed_dirt_hit_deep_01,One Shot,"Deep hit into packed dirt, tight heavy soil impact and crack forming, short tactile digging sound, no music, no instruments, no voices."
GX265,dig_packed_dirt_break_heavy_01,One Shot,"Packed dirt block breaks apart, dense soil chunk drop and gritty crumble, high impact digging sound, no music, no instruments, no voices."
GX266,dig_gravel_hit_crunchy_01,One Shot,"Crunchy pickaxe hit into gravel block, stones shift and gritty impact snaps, short tactile mining sound, no music, no instruments, no voices."
GX267,dig_gravel_break_satisfying_01,One Shot,"Gravel block breaks with satisfying loose stone scatter and dirt collapse, short isolated mining sound, no music, no instruments, no voices."
GX268,dig_stone_hit_crisp_01,One Shot,"Crisp pickaxe strike on stone, sharp metal impact and small rock chips, responsive game mining hit, no music, no instruments, no voices."
GX269,dig_stone_hit_crisp_02,One Shot,"Hard stone mining hit, bright rock chip snap and dense impact body, short satisfying sound, no music, no instruments, no voices."
GX270,dig_stone_break_chunky_01,One Shot,"Stone block breaks into chunky pieces, heavy crack and short rock debris fall, satisfying mining break sound, no music, no instruments, no voices."
GX271,dig_ore_hit_weighty_01,One Shot,"Weighty pickaxe hit on ore vein, dull metal clank under stone crack, short responsive mining sound, no music, no instruments, no voices."
GX272,dig_ore_hit_weighty_02,One Shot,"Ore mining hit with satisfying metal body, mineral fracture and small rock chips, isolated game sound, no music, no instruments, no voices."
GX273,dig_ore_break_rewarding_01,One Shot,"Ore block breaks free, stone crumble followed by heavy metal chunk drop, rewarding mining sound, no music, no instruments, no voices."
GX274,dig_crystal_hit_clean_01,One Shot,"Clean crystal mining hit, glassy mineral tick with brittle crack edge, short satisfying sound, no music, no instruments, no voices."
GX275,dig_crystal_hit_clean_02,One Shot,"Bright crystal strike, sharp glassy impact and tiny shard tick, isolated mining feedback, no music, no instruments, no voices."
GX276,dig_crystal_break_sparkle_01,One Shot,"Crystal block shatters into small mineral shards, crisp brittle crack and falling glassy pieces, no music, no instruments, no voices."
GX277,dig_swing_fast_01,One Shot,"Fast pickaxe swing through air, short dry whoosh with no impact, clean isolated mining action sound, no music, no instruments, no voices."
GX278,dig_swing_heavy_01,One Shot,"Heavy pickaxe swing through air, strong short whoosh and tool weight movement, isolated action sound, no music, no instruments, no voices."
GX279,dig_miss_dirt_01,One Shot,"Pickaxe misses and scrapes dirt lightly, soft dry scrape and small grit movement, short feedback sound, no music, no instruments, no voices."
GX280,dig_miss_stone_01,One Shot,"Pickaxe glances off stone, sharp scrape and tiny rock chips, short isolated miss sound, no music, no instruments, no voices."
GX281,dig_final_hit_dirt_01,One Shot,"Final hit on dirt block, decisive soil crack and complete crumble, satisfying completion sound, no music, no instruments, no voices."
GX282,dig_final_hit_stone_01,One Shot,"Final hit on stone block, decisive rock split and chunky debris fall, satisfying completion sound, no music, no instruments, no voices."
GX283,dig_critical_hit_stone_01,One Shot,"Critical mining hit on stone, extra sharp impact, rock fracture, strong debris snap, high impact feedback, no music, no instruments, no voices."
GX284,dig_critical_hit_ore_01,One Shot,"Critical mining hit on ore, dense metallic strike, stone burst, heavy mineral crack, satisfying reward sound, no music, no instruments, no voices."
GX285,dig_fast_chain_hit_01,One Shot,"Fast repeated mining hit, two quick pickaxe impacts on dirt and stone, compact responsive combo sound, no music, no instruments, no voices."
GX286,dig_overdrive_hit_01,One Shot,"Overdrive mining hit, powerful tool strike, stone crack, dirt burst, mechanical punch body, no music, no instruments, no voices."
GX287,dig_tool_upgrade_hit_01,One Shot,"Upgraded mining tool hits rock, cleaner stronger impact with precise metal snap and rock chips, no music, no instruments, no voices."
GX288,dig_deep_layer_hit_01,One Shot,"Pickaxe hits deep-layer stone, dense pressure-filled rock impact and small gritty fallout, no music, no instruments, no voices."
GX289,dig_hidden_tile_hit_01,One Shot,"Pickaxe hits hidden tile behind dirt, strange hard contact beneath soil and small reveal crack, no music, no instruments, no voices."
GX290,dig_resource_pop_out_01,One Shot,"Resource pops free from freshly broken block, small mineral clack and dirt crumble, satisfying short pickup-adjacent sound, no music, no instruments, no voices."
GX291,game_boot_power_sequence_01,One Shot,"Game boot power sequence, compact mechanical relays, clean electronic startup blips, short non-musical UI sound, no instruments, no voices, no ambience."
GX292,game_boot_logo_reveal_01,One Shot,"Game logo reveal sound, short mechanical lift, clean electronic snap, tiny dust click, non-musical UI effect, no instruments, no voices, no ambience."
GX293,main_menu_open_01,One Shot,"Main menu opens, clean interface panel slide with small mechanical click, short non-musical game UI sound, no instruments, no voices."
GX294,ui_hover_soft_01,One Shot,"Soft UI hover sound, tiny electronic blip and tactile cursor tick, very short non-musical interface sound, no instruments, no voices."
GX295,ui_click_mechanical_02,One Shot,"Mechanical UI click, small metal button press and clean contact snap, short isolated interface sound, no music, no instruments, no voices."
GX296,ui_confirm_positive_02,One Shot,"Positive UI confirm, short clean electronic blip with tiny mechanical lock, non-musical game interface sound, no instruments, no voices."
GX297,ui_cancel_negative_02,One Shot,"Negative UI cancel, short dry electronic tick with small downward mechanical click, non-musical interface sound, no instruments, no voices."
GX298,ui_error_blocked_02,One Shot,"Blocked UI error, short dry warning blip and small locked panel knock, non-musical game interface sound, no instruments, no voices."
GX299,ui_tab_switch_01,One Shot,"Inventory tab switches, crisp paperless panel swipe and small click, short clean UI sound, no music, no instruments, no voices."
GX300,ui_menu_back_01,One Shot,"Menu back action, short interface panel retract and soft click, clean non-musical UI sound, no instruments, no voices."
GX301,level_up_small_01,One Shot,"Small level up reward, compact electronic success blips and mechanical upgrade tick, non-musical game sound, no instruments, no voices."
GX302,level_up_big_01,One Shot,"Big level up reward, bright non-musical electronic burst, several clean UI blips, final mechanical lock, no instruments, no voices."
GX303,xp_tick_single_01,One Shot,"Single experience point tick, tiny clean electronic counter blip, very short reward UI sound, no music, no instruments, no voices."
GX304,xp_count_fast_loop,Loop,"Seamless loopable fast experience counter ticks, tiny rapid non-musical electronic blips, clean UI layer, no instruments, no voices, no melody."
GX305,reward_claim_small_01,One Shot,"Small reward claimed, coin-sized mineral clack and clean confirmation blip, short non-musical UI sound, no instruments, no voices."
GX306,reward_claim_big_01,One Shot,"Big reward claimed, several mineral clacks, compact treasure drop, clean UI confirmation snap, no music, no instruments, no voices."
GX307,chest_unlock_ui_01,One Shot,"Treasure chest UI unlock, metal latch click and clean electronic confirm blip, short non-musical reward sound, no instruments, no voices."
GX308,shop_purchase_success_02,One Shot,"Shop purchase success, small coin clink, mechanical register click, clean confirmation blip, short game UI sound, no music, no voices."
GX309,shop_purchase_fail_01,One Shot,"Shop purchase failed, dry locked drawer knock and short warning blip, non-musical UI error sound, no instruments, no voices."
GX310,upgrade_ready_02,One Shot,"Upgrade ready notification, small tool rack click, clean power blip, short non-musical reward cue, no instruments, no voices."
GX311,skill_unlock_01,One Shot,"New skill unlocked, compact mechanical lock release with bright electronic particles, short non-musical UI sound, no instruments, no voices."
GX312,achievement_unlock_01,One Shot,"Achievement unlocked, clean reward blips, tiny metal badge drop, short non-musical interface sound, no instruments, no voices."
GX313,save_complete_01,One Shot,"Save complete UI sound, small data card click and short electronic confirmation, clean isolated interface sound, no instruments, no voices."
GX314,settings_toggle_01,One Shot,"Settings toggle switch, tiny mechanical slider click and clean interface tick, very short UI sound, no music, no instruments, no voices."
GX315,quest_complete_reward_01,One Shot,"Quest complete reward, compact item drop, clean UI confirmation blips, final mechanical lock click, no music, no instruments, no voices."
GX316,discovery_new_tile_01,One Shot,"New tile discovered, soft dirt reveal, small mineral tick, clean non-musical discovery UI accent, no instruments, no voices, no ambience bed."
GX317,discovery_new_material_01,One Shot,"New material discovered, pickaxe contact reveal, tiny mineral particles and confirmation blip, short game sound, no music, no instruments, no voices."
GX318,discovery_ore_signal_01,One Shot,"Ore signal detected, compact scanner pulse and faint mineral response, short non-musical discovery sound, no instruments, no voices."
GX319,discovery_rare_ore_01,One Shot,"Rare ore discovered, dense stone crack and clean valuable mineral tick, short rewarding reveal sound, no music, no instruments, no voices."
GX320,discovery_gem_pocket_01,One Shot,"Gem pocket discovered, dirt crumbles away and glassy minerals softly clack, rewarding short discovery sound, no music, no instruments, no voices."
GX321,discovery_secret_room_01,One Shot,"Secret room discovered, hidden stone seam opens with dust fall and clean UI snap, no music, no instruments, no voices."
GX322,discovery_hidden_door_01,One Shot,"Hidden door found underground, stone click, wall grit shift, short reveal sound, no music, no instruments, no voices."
GX323,discovery_map_reveal_01,One Shot,"Map reveal sound, clean interface sweep, tiny marker ticks, non-musical discovery UI effect, no instruments, no voices."
GX324,discovery_depth_milestone_01,One Shot,"Depth milestone reached, deep stone pressure pop, tiny dust fall, clean progress blip, no music, no instruments, no voices."
GX325,discovery_new_biome_dirt_01,One Shot,"New dirt biome discovered, surface texture changes, soil shift and soft confirmation click, no music, no instruments, no voices."
GX326,discovery_new_biome_crystal_01,One Shot,"Crystal biome discovered, brittle mineral tick sequence and soft stone reveal, non-musical discovery sound, no instruments, no voices."
GX327,discovery_new_biome_lava_01,One Shot,"Lava biome discovered, hot stone crack, brief heat hiss, clean warning blip, no music, no instruments, no voices."
GX328,discovery_ancient_ruin_01,One Shot,"Ancient ruin discovered, heavy stone dust fall, carved slab shift, clean reveal click, no music, no instruments, no voices."
GX329,discovery_void_crack_01,One Shot,"Void crack discovered, rock splits inward with vacuum-like pull and small debris, non-musical sci-fi discovery sound, no instruments, no voices."
GX330,discovery_star_fragment_01,One Shot,"Star fragment discovered underground, dense mineral tick, small particle scatter, clean reward click, no music, no instruments, no voices."
GX331,scanner_sweep_short_01,One Shot,"Short scanner sweep for nearby resources, dry electronic pulse and tiny mineral response ticks, no music, no instruments, no voices."
GX332,scanner_sweep_loop,Loop,"Seamless loopable active scanner sweep, sparse dry electronic pulses and faint mineral response ticks, non-musical utility layer, no instruments, no voices."
GX333,scanner_complete_01,One Shot,"Scanner completes, compact data blips, small mechanical relay click, clean non-musical UI sound, no instruments, no voices."
GX334,discovery_shop_unlocked_01,One Shot,"New shop unlocked, wooden sign click, small register tick, clean interface confirmation, no music, no instruments, no voices."
GX335,discovery_upgrade_station_01,One Shot,"Upgrade station discovered, tool rack metal click, small power relay snap, short reveal sound, no music, no instruments, no voices."
GX336,combo_dig_2x_01,One Shot,"Two-hit digging combo feedback, quick dirt impact then clean UI tick, short non-musical game sound, no instruments, no voices."
GX337,combo_dig_3x_01,One Shot,"Three-hit digging combo feedback, compact pickaxe hits and crisp confirmation blip, short non-musical sound, no instruments, no voices."
GX338,combo_dig_5x_01,One Shot,"Five-hit mining streak feedback, tight rock chips and clean reward tick cluster, short game sound, no music, no instruments, no voices."
GX339,combo_dig_10x_01,One Shot,"Ten-hit mining streak feedback, strong compact impact burst and rapid clean counter ticks, no music, no instruments, no voices."
GX340,combo_break_chain_01,One Shot,"Digging combo breaks, dry stone scrape and small negative UI tick, short feedback sound, no music, no instruments, no voices."
GX341,combo_refresh_timer_01,One Shot,"Combo timer refreshed, tiny mechanical clock tick and clean interface snap, very short non-musical UI sound, no instruments, no voices."
GX342,combo_multiplier_up_01,One Shot,"Combo multiplier increases, compact rising UI blips without melody and small metal click, no music, no instruments, no voices."
GX343,combo_multiplier_max_01,One Shot,"Maximum combo reached, dense mining impact, sparkling mineral ticks, clean UI lock, non-musical reward sound, no instruments, no voices."
GX344,combo_perfect_hit_01,One Shot,"Perfect mining hit, crisp pickaxe impact, clean mineral snap, tiny positive UI tick, no music, no instruments, no voices."
GX345,combo_perfect_chain_01,One Shot,"Perfect chain reward, several precise mechanical clicks and mineral ticks, compact non-musical feedback sound, no instruments, no voices."
GX346,combo_overdrive_start_01,One Shot,"Mining overdrive starts, tool mechanism locks, power relay snap, short energetic non-musical feedback, no instruments, no voices."
GX347,combo_overdrive_loop,Loop,"Seamless loopable mining overdrive layer, compact tool energy ticks and mechanical pressure, non-musical utility loop, no instruments, no voices."
GX348,combo_overdrive_end_01,One Shot,"Mining overdrive ends, tool pressure releases, relay click down, short clean feedback sound, no music, no instruments, no voices."
GX349,combo_resource_chain_01,One Shot,"Resource chain collected, rapid mineral clacks and compact UI counter ticks, short reward feedback, no music, no instruments, no voices."
GX350,combo_gem_chain_01,One Shot,"Gem chain collected, quick glassy mineral ticks and clean reward blip, short non-musical game sound, no instruments, no voices."
GX351,combo_ore_chain_01,One Shot,"Ore chain collected, heavy metal clacks and tight counter ticks, satisfying short reward sound, no music, no instruments, no voices."
GX352,combo_speed_bonus_01,One Shot,"Speed bonus activated, quick mechanical boost snap and clean interface tick, short non-musical feedback, no instruments, no voices."
GX353,combo_no_damage_bonus_01,One Shot,"No damage bonus awarded, clean protective shield click and reward blip, short UI sound, no music, no instruments, no voices."
GX354,combo_close_call_01,One Shot,"Close call bonus, rock falls nearby then clean survival reward tick, short isolated game sound, no music, no instruments, no voices."
GX355,combo_jackpot_finish_01,One Shot,"Jackpot combo finish, minerals tumble briefly, compact reward ticks, final clean mechanical lock, no music, no instruments, no voices."
GX356,depth_far_impact_massive_02,One Shot,"Massive impact far below the mine, muffled stone slam and distant debris settling, scary physical depth accent, no music, no instruments, no voices."
GX357,depth_far_collapse_rumble_02,One Shot,"Distant tunnel collapse far underground, low rock crash traveling through stone, short scary cave sound, no music, no instruments, no voices."
GX358,depth_far_boulder_roll_02,One Shot,"Huge boulder rolls somewhere far below, muffled stone grinding and final distant thud, no music, no instruments, no voices."
GX359,depth_far_metal_drag_02,One Shot,"Old metal object drags far away in deep tunnel, short scraping chain-like movement, scary physical sound, no music, no instruments, no voices."
GX360,depth_far_floor_crack_02,One Shot,"Deep floor crack heard from far below, sharp stone split softened by distance, tiny debris tail, no music, no instruments, no voices."
GX361,depth_far_water_drop_huge_01,One Shot,"Huge water drop falls into a distant underground pool, dark wet impact through stone space, no music, no instruments, no voices."
GX362,depth_far_pressure_pop_sequence_01,One Shot,"Sequence of distant rock pressure pops, irregular stone snaps and dust movement far below, no music, no instruments, no voices."
GX363,depth_far_chain_swing_02,One Shot,"Heavy chain swings once in a distant underground chamber, metal links scrape and settle, no music, no instruments, no voices."
GX364,depth_far_air_suck_01,One Shot,"Deep tunnel suddenly pulls air inward far away, brief pressure suction through rock cracks, no music, no instruments, no voices."
GX365,depth_far_stone_door_shift_01,One Shot,"Huge stone door shifts far below, muffled grinding slab and dust fall, scary depth accent, no music, no instruments, no voices."
GX366,depth_far_crystal_fracture_01,One Shot,"Large crystal fractures in a distant cavern, glassy crack softened by underground distance, no music, no instruments, no voices."
GX367,depth_far_void_crack_01,One Shot,"Void crack opens far below, stone splits and air pressure bends inward, short unsettling sci-fi cave sound, no music, no instruments, no voices."
GX368,depth_far_support_failure_01,One Shot,"Old mine support fails far away, wood snap, metal strain, distant rock dust fall, no music, no instruments, no voices."
GX369,depth_far_unknown_weight_01,One Shot,"Unknown heavy weight shifts far beneath the player, stone floor grinds and settles, scary physical sound, no music, no instruments, no voices."
GX370,depth_far_warning_cluster_01,One Shot,"Distant depth warning cluster, small rock pop, far impact, brief gravel fall, isolated scary cave cue, no music, no instruments, no voices."
GX371,darkness_edge_creep_loop,Loop,"Seamless loopable darkness edge foley, faint air pressure near unlit tunnel edges and tiny dust movement, physical only, no music, no instruments, no voices."
GX372,darkness_nearby_pulse_01,One Shot,"Darkness danger pulse, brief pressure squeeze through stone and tiny grit fall, short non-musical warning sound, no instruments, no voices."
GX373,darkness_torch_reacts_01,One Shot,"Torch reacts to nearby darkness, flame flicker, small air pull, tiny ember crackle, isolated cue, no music, no instruments, no voices."
GX374,darkness_light_fail_01,One Shot,"Light source almost fails, weak electrical sputter, tiny glass tick, short danger sound, no music, no instruments, no voices."
GX375,darkness_light_return_01,One Shot,"Light source returns, small electrical contact snap, gentle flame or bulb stabilize, short safety cue, no music, no instruments, no voices."
GX376,watching_close_pebble_01,One Shot,"A tiny pebble shifts just behind the player in a dark tunnel, close dry stone tick, unsettling but physical, no music, no instruments, no voices."
GX377,watching_wall_pressure_01,One Shot,"Stone wall beside player tightens under unseen pressure, small crack and grit fall, scary physical cue, no music, no instruments, no voices."
GX378,watching_ceiling_dust_01,One Shot,"Dust falls from ceiling directly above in darkness, soft dry particles and tiny stone taps, no music, no instruments, no voices."
GX379,watching_behind_stone_scrape_01,One Shot,"Short stone scrape from behind in deep darkness, heavy rock surface moves slightly then stops, no music, no instruments, no voices."
GX380,watching_tunnel_air_stop_01,One Shot,"Tunnel air suddenly stops for a moment, pressure closes in and dirt settles, short unsettling physical sound, no music, no instruments, no voices."
GX381,watching_unseen_step_not_creature_01,One Shot,"Single heavy unexplained pressure thump in nearby darkness, like stone settling under weight, no footsteps, no creatures, no music, no instruments, no voices."
GX382,darkness_inventory_rattle_01,One Shot,"Robot inventory lightly rattles when darkness approaches, small metal ticks and nervous chassis movement, no music, no instruments, no voices."
GX383,darkness_warning_ui_physical_01,One Shot,"Darkness warning, dry UI blip combined with tiny torch flutter and rock dust fall, no music, no instruments, no voices."
GX384,watching_distant_return_01,One Shot,"Distant sound answers the player from darkness, small rock knock far away after a pause, no music, no instruments, no voices."
GX385,darkness_full_blackout_01,One Shot,"Full blackout moment, electrical snap off, air pressure drop, small dirt fall, short scary transition, no music, no instruments, no voices."
GX386,void_small_open_01,One Shot,"Small void opening underground, rock surface tears inward, vacuum-like air pull, granular debris lifts briefly, no music, no instruments, no voices."
GX387,void_small_close_01,One Shot,"Small void closes, pressure snaps back, dust drops, tiny stone crack seals, short sci-fi cave sound, no music, no instruments, no voices."
GX388,void_gate_idle_loop,Loop,"Seamless loopable void gate foley, unstable air pressure, granular particles moving around cracked stone, non-musical sci-fi layer, no instruments, no voices."
GX389,void_gate_pulse_01,One Shot,"Void gate pulse, brief inward pressure wave, stone grit lifts and falls, short non-musical cosmic sound, no instruments, no voices."
GX390,void_resource_pickup_01,One Shot,"Void resource pickup, dense particle collapse, small stone snap, clean inventory tick, no music, no instruments, no voices."
GX391,star_fragment_form_01,One Shot,"Star fragment forms inside mineral pocket, compact particle swirl, tiny crystal ticks, final dense mineral click, no music, no instruments, no voices."
GX392,star_ore_break_01,One Shot,"Star ore breaks apart, glassy mineral crack with dry cosmic particle scatter, isolated mining reward sound, no music, no instruments, no voices."
GX393,starformation_small_burst_01,One Shot,"Small star formation burst inside deep cavern, hot particle snap, mineral dust expansion, short non-musical sci-fi effect, no instruments, no voices."
GX394,starformation_loop_subtle,Loop,"Seamless loopable star formation foley, tiny particles colliding, soft plasma-like air movement, sparse mineral ticks, no music, no instruments, no voices."
