ID,Decision,Line,Event,Visible cue,Exact condition,Must not trigger,Emotion,Flavour,Extra requirement
L020,,"Ah, bronze. Modest, like my wages.",First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",dry,work,
L021,,Bronze. Better than another handful of dirt.,First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",wry,work,
L022,,That's bronze. Keep the good bits.,First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",focused,practical,
L023,,Bronze used to make decent promises.,First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",wistful,mystery,
L024,,A bit of bronze. We're getting somewhere.,First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",pleased,practical,
L025,,Iron. Something with a backbone.,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",approving,practical,
L026,,Good iron. I respect that.,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",warm,practical,
L027,,Iron. My shoulders knew before I did.,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",weary,relatable,
L028,,Found iron. The day improves.,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",pleased,practical,
L029,,Iron. Useful. Unlike my last employer.,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",dry,bad-joke,
L030,,"Hello, iron. You're coming with me.",First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",friendly,practical,
L031,,"Iron. Less pretty, more dependable.",First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",assured,practical,
L032,,"That's iron. Finally, something solid.",First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",relieved,practical,
L033,,Iron. I remember the taste.,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",quiet,mystery,
L034,,A little iron. A proper day's work.,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",satisfied,work,
L035,,Iron. Let's call that progress.,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",steady,practical,
L036,,"Iron. No, I'm not licking it.",First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",amused,bad-joke,
L037,,Silver. Now we're talking.,First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",pleased,practical,
L038,,"Hello, silver. I've missed good company.",First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",warm,relatable,
L039,,Silver. That's supper with a chair.,First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",amused,relatable,
L040,,Found silver. Try looking surprised.,First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",dry,bad-joke,
L041,,"Silver. Clean shine, dirty hands.",First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",reflective,work,
L042,,"Ah, silver. My debts look smaller.",First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",relieved,relatable,
L043,,Silver. Keep your bloody promises.,First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",wary,mystery,
L044,,That's silver. I'll take the compliment.,First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",playful,bad-joke,
L045,,Silver used to keep certain doors shut.,First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",quiet,mystery,
L046,,Silver. Worth the aching back.,First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",satisfied,work,
L047,,A bit of silver. Keep it safe.,First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",gentle,practical,
L048,,Silver. Almost respectable money.,First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",crooked,work,
L049,,Gold. Someone died for less.,First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",restrained,mystery,
L050,,Gold. That used to buy silence.,First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",quiet,mystery,
L051,,Gold. There goes my conscience.,First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",crooked,dark-humour,
L052,,Gold. I've killed for less.,First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",confiding,mystery,
L053,,"Hello, gold. Goodbye, sensible decisions.",First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",amused,bad-joke,
L054,,Gold. That's supper and clean socks.,First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",delighted,relatable,
L055,,Found gold. Don't grin like that.,First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",self-conscious,relatable,
L056,,Gold. My favourite bad influence.,First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",warm,dark-humour,
L057,,"Actual gold. All right, worth the dirt.",First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",pleased,work,
L058,,Gold. Even my back stopped complaining.,First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",amused,bad-joke,
L059,,That's gold. I'll thank myself later.,First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",satisfied,practical,
L060,,Gold. Try not to fall in love.,First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",playful,relatable,
L061,,An Ember. Still warm. Come here.,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",tender,warmth,
L062,,"Hello, little Ember. Let's get you home.",Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",warm,warmth,
L063,,Found an Ember. The fire gets supper.,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",pleased,bad-joke,
L064,,An Ember. Good things still survive.,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",relieved,warmth,
L065,,Ember's safe. Hands can complain later.,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",protective,relatable,
L066,,"Oh, an Ember. You stubborn little thing.",Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",fond,warmth,
L067,,An Ember. I know that warmth.,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",soft,mystery,
L068,,This Ember's older than it looks.,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",uneasy,mystery,
L069,,Ember found. Keep that glow.,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",gentle,practical,
L070,,An Ember. Beats a cold welcome.,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",wry,bad-joke,
L071,,Warm little Ember. Not leaving you here.,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",resolute,warmth,
L072,,An Ember. One more reason to return.,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",reflective,warmth,
L073,,I remember that light.,Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",tender,mystery,
L074,,The Stars used to know me.,Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",wistful,mystery,
L075,,"Miss me, you little bastard?",Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",affectionate,mystery,
L076,,"There you are, little Star.",Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",warm,warmth,
L077,,A Star. That's worth staying for.,Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",soft,warmth,
L078,,"Hello, Star. The dark didn't suit you.",Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",gentle,warmth,
L079,,One less Star buried. Good.,Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",satisfied,warmth,
L080,,Another Star. I'm collecting bad company.,Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",playful,bad-joke,
L081,,A Star. Try not to get attached.,Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",self-conscious,relatable,
L082,,Star's safe. We can breathe.,Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",relieved,warmth,
L083,,A Star. Brighter than my prospects.,Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",dry,bad-joke,
L084,,"Come along, Star. I know the way.",Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",protective,warmth,
L085,,I know that face.,Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",pained,mystery,
L086,,We didn't part as friends.,Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",restrained,mystery,
L087,,You still owe me a drink.,Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",fond,mystery,
L088,,"Ah, shit. You again.",Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",startled,mystery,
L089,,A Titan. Suddenly I feel underdressed.,Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",wry,bad-joke,
L090,,"Hello, big fella. Easy does it.",Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",gentle,warmth,
L091,,That Titan makes my problems look small.,Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",awed,relatable,
L092,,A Titan. That's a difficult introduction.,Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",nervous,relatable,
L093,,I was hoping you'd forgotten my face.,Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",confiding,mystery,
L094,,That's one hell of a neighbour.,Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",awed,dark-humour,
L095,,A Titan. I'll put the questions away.,Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",wary,practical,
L096,,You look tired. I know the feeling.,Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",warm,relatable,
L097,,Different stone. Same terrible benefits.,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",dry,bad-joke,
L098,,New ground. Watch where you step.,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",alert,practical,
L099,,"Well, the mine's changed its mind.",A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",surprised,practical,
L100,,New colours. Still mostly bad news.,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",wry,dark-humour,
L101,,This part of the mine feels different.,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",curious,practical,
L102,,Different walls. Same aching shoulders.,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",weary,relatable,
L103,,A new stretch of mine. Easy now.,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",steady,practical,
L104,,Fresh scenery. I should charge for travel.,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",amused,bad-joke,
L105,,New stone. Old nerves.,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",uneasy,vulnerable,
L106,,I've seen stone like this before.,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",quiet,mystery,
L107,,The walls changed. Keep the way back.,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",focused,practical,
L108,,New ground. Let's give it a chance.,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",hopeful,warmth,
L109,,Another depth reached. I'll take that.,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",pleased,practical,
L110,,That's a fair way down.,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",awed,practical,
L111,,Deeper already. One breath to celebrate.,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",satisfied,relatable,
L112,,Another depth mark. Still on my feet.,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",steady,practical,
L113,,We made that depth. Bloody good.,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",proud,relatable,
L114,,A little deeper. A little less sensible.,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",wry,dark-humour,
L115,,That's progress. My knees disagree.,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",amused,bad-joke,
L116,,Another depth reached. Supper feels further away.,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",weary,relatable,
L117,,Deep enough to impress my old boss.,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",crooked,mystery,
L118,,That depth used to mean something else.,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",quiet,mystery,
L119,,Another mark down. Keep the pride quiet.,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",self-conscious,relatable,
L120,,That far down. No wonder I'm tired.,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",muttering,relatable,
L121,,New record. Act casual.,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,pleased,relatable,
L122,,My deepest yet. Don't get cocky.,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,self-reassuring,practical,
L123,,Past my old best. Look at that.,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,proud,relatable,
L124,,A new best. Still underpaid.,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,dry,work,
L125,,Never dug this deep before.,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,awed,practical,
