ID,Decision,Line,Emotion,Flavour,Event,Visible cue,Exact condition,Must not trigger,Extra requirement,Recording status,Existing takes,Note
L060,yes,Gold. Try not to fall in love.,playful,relatable,First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",,Needs new recording,0,
L061,yes,An Ember. Still warm. Come here.,tender,warmth,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",,Needs new recording,0,
L062,yes,"Hello, little Ember. Let's get you home.",warm,warmth,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",,Needs new recording,0,
L065,yes,Ember's safe. Hands can complain later.,protective,relatable,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",,Needs new recording,0,
L068,yes,This Ember's older than it looks.,uneasy,mystery,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",,Needs new recording,0,
L069,yes,Ember found. Keep that glow.,gentle,practical,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",,Needs new recording,0,
L070,yes,An Ember. Beats a cold welcome.,wry,bad-joke,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",,Needs new recording,0,
L071,yes,Warm little Ember. Not leaving you here.,resolute,warmth,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",,Needs new recording,0,
L072,yes,An Ember. One more reason to return.,reflective,warmth,Ember found,An Ember reveal finishes in front of you.,A genuine new Ember find grants a charge and its reveal finishes. The Ember or reward confirmation is still visible.,"No ordinary glowing ore, automatic refill, loaded charges or passing the fire.",,Needs new recording,0,
L076,yes,"There you are, little Star.",warm,warmth,Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",,Needs new recording,0,
L077,yes,A Star. That's worth staying for.,soft,warmth,Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",,Needs new recording,0,
L078,yes,"Hello, Star. The dark didn't suit you.",gentle,warmth,Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",,Needs new recording,0,
L081,yes,A Star. Try not to get attached.,self-conscious,relatable,Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",,Needs new recording,0,
L082,yes,Star's safe. We can breathe.,relieved,warmth,Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",,Needs new recording,0,
L084,yes,"Come along, Star. I know the way.",protective,warmth,Star collected,"A collected Star's reveal finishes, its light still visible.",A positive Star reward is committed for a new identity. Its reveal and any narration finish; its light or award remains visible.,"No ordinary blocks, zero awards, Star menus or old Stars returning to view.",,Needs new recording,0,
L090,yes,"Hello, big fella. Easy does it.",gentle,warmth,Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",,Needs new recording,0,
L092,yes,A Titan. That's a difficult introduction.,nervous,relatable,Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",,Needs new recording,0,
L093,yes,I was hoping you'd forgotten my face.,confiding,mystery,Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",,Needs new recording,0,
L094,yes,That's one hell of a neighbour.,awed,dark-humour,Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",,Needs new recording,0,
L095,yes,A Titan. I'll put the questions away.,wary,practical,Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",,Needs new recording,0,
L096,yes,You look tired. I know the feeling.,warm,relatable,Titan revealed,The newly revealed Titan remains on screen after its introduction.,"A Titan unlock is committed. Its reveal, cinematic and narration finish; the same Titan remains clearly visible.","No narration overlap, off-screen Titan, archive view or repeated proximity.",,Needs new recording,0,
L097,yes,Different stone. Same terrible benefits.,dry,bad-joke,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",,Needs new recording,0,
L098,yes,New ground. Watch where you step.,alert,practical,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",,Needs new recording,0,
L099,yes,"Well, the mine's changed its mind.",surprised,practical,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",,Needs new recording,0,
L100,yes,New colours. Still mostly bad news.,wry,dark-humour,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",,Needs new recording,0,
L101,yes,This part of the mine feels different.,curious,practical,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",,Needs new recording,0,
L103,yes,A new stretch of mine. Easy now.,steady,practical,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",,Needs new recording,0,
L105,yes,New stone. Old nerves.,uneasy,vulnerable,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",,Needs new recording,0,
L106,yes,I've seen stone like this before.,quiet,mystery,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",,Needs new recording,0,
L107,yes,The walls changed. Keep the way back.,focused,practical,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",,Needs new recording,0,
L108,yes,New ground. Let's give it a chance.,hopeful,warmth,A visibly different region,The mine's scenery clearly changes around you.,The authoritative biome identity changes for the first time; the new scenery is visible and stable for 2 seconds.,"No hidden depth band, obscured scenery, ordinary camera pan or loaded save.",,Needs new recording,0,
L109,yes,Another depth reached. I'll take that.,pleased,practical,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",,Needs new recording,0,
L110,yes,That's a fair way down.,awed,practical,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",,Needs new recording,0,
L111,yes,Deeper already. One breath to celebrate.,satisfied,relatable,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",,Needs new recording,0,
L114,yes,A little deeper. A little less sensible.,wry,dark-humour,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",,Needs new recording,0,
L115,yes,That's progress. My knees disagree.,amused,bad-joke,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",,Needs new recording,0,
L120,yes,That far down. No wonder I'm tired.,muttering,relatable,Depth milestone reached,The new depth milestone reward or marker appears.,The milestone authority confirms a new threshold and its depth/reward feedback is visible.,"No every-metre trigger, map hover, invisible threshold or restored progress.",,Needs new recording,0,
L121,yes,New record. Act casual.,pleased,relatable,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,,Needs new recording,0,
L122,yes,My deepest yet. Don't get cocky.,self-reassuring,practical,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,,Needs new recording,0,
L123,yes,Past my old best. Look at that.,proud,relatable,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,,Needs new recording,0,
L124,yes,A new best. Still underpaid.,dry,work,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,,Needs new recording,0,
L125,yes,Never dug this deep before.,awed,practical,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,,Needs new recording,0,
L126,yes,Record broken. Back still negotiating.,amused,bad-joke,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,,Needs new recording,0,
L127,yes,"That's my old limit, gone.",satisfied,practical,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,,Needs new recording,0,
L128,yes,New deepest point. I earned this breath.,relieved,relatable,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,,Needs new recording,0,
L132,yes,A new best. I'll complain after celebrating.,playful,relatable,New deepest point,A new personal depth record is visibly confirmed.,A meaningful personal-best event beats the old record and its confirmation is visible. Choose one reaction if a milestone occurs too.,No repeated metres past the record and no second line for the same milestone.,,Needs new recording,0,
L135,yes,Rocks coming down. Move!,alarmed,practical,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",,Needs new recording,0,
L136,yes,Rockfall. Get clear.,firm,practical,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",,Needs new recording,0,
L137,yes,That rock's coming down!,sharp,practical,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",,Needs new recording,0,
L138,yes,Loose ceiling. Move clear.,urgent,practical,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",,Needs new recording,0,
L139,yes,Rocks above. Out of here.,focused,practical,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",,Needs new recording,0,
L140,yes,Falling rocks. Keep clear.,firm,practical,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",,Needs new recording,0,
L141,yes,Get clear of those rocks!,alarmed,practical,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",,Needs new recording,0,
L142,yes,Rockfall. Don't stand here.,urgent,practical,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",,Needs new recording,0,
L143,yes,Watch those falling rocks!,sharp,practical,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",,Needs new recording,0,
L144,yes,"Loose rocks. Move, move!",strained,practical,Rocks about to fall nearby,A live rock danger marker overlaps your position.,The player's actual danger area overlaps an active fall zone. Rocks have not already passed; the voice can start immediately.,"No distant quake, safe shelter, finished fall, queued stale warning or competing speech.",,Needs new recording,0,
L149,yes,Rocks stopped. Let's keep it that way.,weary,practical,Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",,Needs new recording,0,
L150,yes,Survived that. Hands haven't caught up.,shaken,vulnerable,Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",,Needs new recording,0,
L151,yes,Quake's over. My nerves need longer.,wry,relatable,Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",,Needs new recording,0,
L153,yes,Still here. Bit rude of me.,amused,dark-humour,Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",,Needs new recording,0,
L154,yes,That rockfall nearly ended my shift.,rattled,work,Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",,Needs new recording,0,
L155,yes,"Quake's passed. Breathe, you idiot.",self-reassuring,relatable,Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",,Needs new recording,0,
L156,yes,Rocks settled. I'm still doing that.,muttering,bad-joke,Survived a quake near miss,Rocks stop after actually threatening you.,This quake recorded personal danger-zone exposure or a near miss. The player survives; debris stops and safety holds for 3 seconds.,"No distant quake, rumble alone, death, menu or renewed hazard.",,Needs new recording,0,
L157,yes,Too much. I need somewhere safe.,strained,vulnerable,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",,Needs new recording,0,
L158,yes,I'm rattled. Get somewhere calm.,urgent,vulnerable,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",,Needs new recording,0,
L159,yes,Steady hands. Find safety.,focused,practical,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",,Needs new recording,0,
L160,yes,Panic's climbing. Time to get clear.,alarmed,practical,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",,Needs new recording,0,
L161,yes,Not thinking straight. Find safe ground.,strained,vulnerable,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",,Needs new recording,0,
L162,yes,All right. Fear's winning. Move to safety.,rattled,practical,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",,Needs new recording,0,
L163,yes,I'm losing my nerve here.,breathless,vulnerable,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",,Needs new recording,0,
L164,yes,Easy. Get safe. Then breathe.,self-reassuring,practical,Hardcore stress turns critical,The visible stress warning turns critical.,Hardcore mode is enabled; stress rises into critical and the warning is visible and still active.,"No normal mode, assumed injury, hidden stress change or competing speech.",,Needs new recording,0,
